Unique ID,Timestamp,Gender^,Country of Nationality^,Country of Residence^,What is your primary occupation?^,Select the option below that best describes your field of study or expertise^,What is your primary area of interest within OpenCon’s program areas?^,"Are you currently engaged in activities to advance Open Access, Open Education, and/or Open Data?^",Are you planning to participate in any of the following events this year?^,Do you have any of the following skills or interests?^
37766769,6/12/2015 8:31:09,Female,United Kingdom,United Kingdom,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Communications and Media; Blogging; Research about OpenCon's Issue Areas
34452838,6/12/2015 8:32:32,Male,Belgium,Belgium,Other: PhD candidate + startup co-founder,Natural Sciences - Biological sciences,Open Access,Yes,,"Social Media Campaigns; Advocacy and Policy; Research about OpenCon's Issue Areas; Other: Bring people together, connecting dots, creative ideas"
34008677,6/12/2015 9:14:48,Female,Montenegro,Montenegro,Undergraduate student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,No,Open Education Week,Coding; Website Management / Design; Graphic Design; Fundraising; Research about OpenCon's Issue Areas
33499574,6/12/2015 9:29:08,Female,Serbia,Serbia,Undergraduate student,Social Sciences - Law,Open Education,No,Open Access Week; Open Education Week; Open Data Day,"Video Editing; Social Media Campaigns; Volunteer Management; Research about OpenCon's Issue Areas; Other: Photography, acting, music"
25645648,6/12/2015 9:35:55,Male,Moldova,France,Undergraduate student,Social Sciences - Economics and business,Open Education,No,Open Education Week,Volunteer Management
21174240,6/12/2015 9:36:05,Male,Ghana,United Kingdom,Masters/professional student,Social Sciences - Law,Open Access,No,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Blogging; Advocacy and Policy
11800490,6/12/2015 10:20:59,Male,Netherlands,Netherlands,Masters/professional student,Social Sciences - Economics and business,Open Data,Yes,,Blogging
21190953,6/12/2015 10:26:14,Male,Pakistan,Pakistan,Faculty/teacher,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,Yes,Open Education Week,Communications and Media
15342623,6/12/2015 10:35:04,Male,Macedonia,Macedonia,PhD candidate,Social Sciences - Law,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Communications and Media; Event Logistics
78057771,6/12/2015 11:15:01,Male,Nigeria,Nigeria,Masters/professional student,Natural Sciences - Biological sciences,Open Access,No,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
35200019,6/12/2015 11:18:04,Male,Nigeria,Nigeria,Researcher (non-faculty),Agricultural Sciences - Other agricultural sciences,Open Data,No,Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Blogging; Research about OpenCon's Issue Areas
23824662,6/12/2015 11:20:14,Male,Tanzania,Tanzania,Masters/professional student,Engineering/Technology - Materials engineering,Open Data,No,,energy materials
65016379,6/12/2015 11:23:19,Female,Cyprus,Cyprus,PhD candidate,Social Sciences - Law,Open Access,No,,Advocacy and Policy; Research about OpenCon's Issue Areas
79240289,6/12/2015 11:28:29,Male,India,Germany,Masters/professional student,Natural Sciences - Physical sciences,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Community / Grassroots Organizing; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
98681989,6/12/2015 11:29:14,Male,Cameroon,Cameroon,Undergraduate student,Social Sciences - Political Science,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
11552380,6/12/2015 11:31:33,Male,Nigeria,Nigeria,Other: Graduate,Engineering/Technology - Chemical engineering,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Volunteer Management; ENTERPRENEURSHIP
12726596,6/12/2015 11:49:49,Female,Indonesia,Indonesia,Undergraduate student,Humanities - Languages and literature,Open Education,No,Open Education Week,Community / Grassroots Organizing; Volunteer Management
79345138,6/12/2015 12:14:59,Female,Canada,Canada,Undergraduate student,Social Sciences - Psychology,Open Education,No,,Community / Grassroots Organizing; Fundraising; Communications and Media; Blogging; Event Logistics
37489653,6/12/2015 13:20:20,Male,Liberia,Turkey,Masters/professional student,Social Sciences - Political Science,Open Education,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Blogging; Advocacy and Policy
37939030,6/12/2015 14:19:40,Female,Cameroon,Cameroon,Librarian,Social Sciences - Law,Open Access,Yes,Open Access Week,Advocacy and Policy; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
12808414,6/12/2015 14:50:42,Male,Bangladesh,Bangladesh,Undergraduate student,Humanities - Other humanities,Open Data,Yes,,Graphic Design; Community / Grassroots Organizing; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
16607182,6/12/2015 14:51:57,Male,Cameroon,Nigeria,PhD candidate,Natural Sciences - Earth and related environmental sciences,Open Education,No,Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Volunteer Management; Research about OpenCon's Issue Areas
39839514,6/12/2015 14:55:33,Male,Azerbaijan,Azerbaijan,Undergraduate student,Social Sciences - Economics and business,Open Education,No,Open Education Week,Community / Grassroots Organizing; Fundraising; Communications and Media; Event Logistics; Volunteer Management
24446802,6/12/2015 15:10:18,Female,United States of America,United States of America,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Blogging; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
14106881,6/12/2015 15:34:40,Male,Gambia,Gambia,Undergraduate student,Social Sciences - Law,Open Access,No,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Communications and Media; Advocacy and Policy
36854637,6/12/2015 15:44:59,Male,Nigeria,Nigeria,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,No,Open Data Day,Coding; Website Management / Design; Communications and Media; Blogging
20970568,6/12/2015 16:06:23,Male,Togo,Turkey,PhD candidate,Social Sciences - Sociology,Open Education,No,Open Education Week,Volunteer Management
50165656,6/12/2015 16:21:49,Male,Nigeria,Nigeria,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,No,,Blogging; Volunteer Management
18323190,6/12/2015 16:30:04,Male,Jamaica,Jamaica,Civil servant / government employee,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
28674390,6/12/2015 16:30:21,Female,United States of America,United States of America,Masters/professional student,Social Sciences - Other social sciences,Open Data,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Blogging; Advocacy and Policy
18013370,6/12/2015 16:36:51,Male,Cameroon,Cameroon,Undergraduate student,Social Sciences - Law,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
91638512,6/12/2015 16:58:20,Male,Moldova,Moldova,Civil servant / government employee,Social Sciences - Law,Open Access,Yes,,Communications and Media; Advocacy and Policy; Event Logistics
42117102,6/12/2015 17:25:35,Male,United States of America,United States of America,Researcher (non-faculty),Social Sciences - Economics and business,Open Data,Yes,Open Access Week,Coding; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas; Other: Replication
78634453,6/12/2015 18:25:54,Female,Egypt,Egypt,Librarian,Engineering/Technology - Environmental engineering,Open Education,No,Open Access Week; Open Data Day,"Communications and Media; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas; Other: presentation skills, Information literacy of OA, websites editing and content management"
14983977,6/12/2015 20:00:37,Male,Nigeria,Nigeria,Undergraduate student,Humanities - Other humanities,Open Education,Yes,,Community / Grassroots Organizing; Fundraising; Communications and Media; Advocacy and Policy; Volunteer Management
23143163,6/12/2015 20:34:31,Male,Liberia,Libya,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,No,Open Education Week,Volunteer Management
12093700,6/12/2015 21:55:23,Male,Nigeria,Nigeria,Librarian,Natural Sciences - Physical sciences,Open Education,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Advocacy and Policy; Volunteer Management
16742968,6/12/2015 22:02:26,Female,Egypt,Egypt,PhD candidate,Natural Sciences - Biological sciences,Open Education,No,,Video Editing
23185305,6/12/2015 23:23:02,Female,Philippines,Philippines,Faculty/teacher,Natural Sciences - Earth and related environmental sciences,Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas
10249512,6/13/2015 0:09:45,Female,Ireland,United Kingdom,PhD candidate,Social Sciences - Psychology,Open Access,No,Open Access Week; Open Data Day,Coding; Fundraising; Communications and Media; Blogging; Volunteer Management
21398789,6/13/2015 0:34:14,Male,United States of America,United States of America,Doctor / medical professional,Medicine/Health Sciences - Health sciences,Open Data,No,Open Access Week; Open Data Day,Website Management / Design; Graphic Design; Video Editing; Fundraising
12227275,6/13/2015 1:11:22,Female,Nepal,Nepal,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Volunteer Management
12508497,6/13/2015 1:23:25,Male,India,India,Faculty/teacher,Medicine/Health Sciences - Basic medicine,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Volunteer Management
31177561,6/13/2015 2:36:02,Female,Cameroon,Cameroon,Civil servant / government employee,Social Sciences - Economics and business,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
70642032,6/13/2015 3:19:21,Male,Cameroon,Cameroon,Undergraduate student,Natural Sciences - Physical sciences,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
31808246,6/13/2015 3:44:20,Male,Kenya,Kenya,Masters/professional student,None of these describes my field of study or expertise,Open Education,No,Open Education Week,Community / Grassroots Organizing; Advocacy and Policy; Research about OpenCon's Issue Areas
17512442,6/13/2015 4:23:05,Male,Nigeria,Nigeria,PhD candidate,Engineering/Technology - Environmental biotechnology,Open Education,No,Open Access Week; Open Education Week,Website Management / Design; Video Editing; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
28872976,6/13/2015 4:54:42,Male,Ethiopia,Ethiopia,Masters/professional student,Social Sciences - Social and economic geography,Open Data,No,Open Access Week; Open Education Week; Open Data Day,Coding; Advocacy and Policy; Research about OpenCon's Issue Areas
23036217,6/13/2015 5:21:48,Male,Ukraine,Ukraine,Faculty/teacher,Humanities - History and archaeology,Open Education,No,Open Education Week,Website Management / Design; Advocacy and Policy
29323787,6/13/2015 5:31:02,Male,Germany,Germany,PhD candidate,"Humanities - Art (arts, history of arts, performing arts, music)",Open Access,No,,Research about OpenCon's Issue Areas
62831464,6/13/2015 5:42:36,Male,Pakistan,Pakistan,Faculty/teacher,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Volunteer Management
32221327,6/13/2015 5:44:13,Male,Moldova,Moldova,PhD candidate,Humanities - Languages and literature,Open Education,No,Open Education Week,Website Management / Design; Fundraising
12650239,6/13/2015 5:55:53,Male,Georgia,Georgia,Journalist,Social Sciences - Media and communications,Open Education,Yes,,Social Media Campaigns; Communications and Media; Event Logistics
20691286,6/13/2015 6:25:34,Female,Tanzania,Uganda,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Advocacy and Policy; Volunteer Management
40938308,6/13/2015 6:32:51,Female,United States of America,United Arab Emirates,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Education,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Communications and Media; Blogging; Advocacy and Policy; Volunteer Management
30098295,6/13/2015 7:02:44,Female,Nigeria,Nigeria,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,Open Data Day,Website Management / Design; Communications and Media; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
28538846,6/13/2015 7:13:48,Female,Kenya,Kenya,Faculty/teacher,Social Sciences - Law,Open Education,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
16283184,6/13/2015 7:30:39,Male,Philippines,Philippines,Undergraduate student,Social Sciences - Media and communications,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,"Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas; Other: Journalism and Writing, Information and Knowledge Management"
28534303,6/13/2015 7:32:27,Male,Greece,Cyprus,Researcher (non-faculty),Engineering/Technology - Civil engineering,Open Data,Yes,,Community / Grassroots Organizing; Event Logistics; Volunteer Management
41940366,6/13/2015 7:58:23,Male,Sierra Leone,Turkey,Masters/professional student,Engineering/Technology - Other engineering and technologies,Open Education,Yes,Open Education Week,Coding; Fundraising; Advocacy and Policy; Volunteer Management
12385026,6/13/2015 8:29:41,Female,Kenya,Kenya,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Advocacy and Policy; Research about OpenCon's Issue Areas
14183878,6/13/2015 8:48:33,Male,United States of America,Germany,Masters/professional student,Social Sciences - Psychology,Open Access,Yes,Open Access Week,Social Media Campaigns; Blogging; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
38864589,6/13/2015 8:55:16,Male,Nepal,Nepal,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week,Event Logistics; Volunteer Management
66207842,6/13/2015 8:56:20,Male,Nigeria,Nigeria,Masters/professional student,"Humanities - Philosophy, ethics and religion",Open Education,Yes,Open Education Week,Website Management / Design; Community / Grassroots Organizing; Social Media Campaigns; Blogging; Volunteer Management
16052194,6/13/2015 9:01:54,Male,Nepal,Nepal,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Event Logistics; Volunteer Management
43858212,6/13/2015 9:04:31,Female,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Education,Yes,Open Education Week,Research about OpenCon's Issue Areas
38007213,6/13/2015 9:21:43,Male,Ukraine,Ukraine,Faculty/teacher,Social Sciences - Economics and business,Open Access,Yes,,Website Management / Design; Communications and Media; Event Logistics
20371812,6/13/2015 9:29:03,Male,Algeria,Algeria,Masters/professional student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,Yes,Open Education Week,Coding; Website Management / Design; Event Logistics; Volunteer Management
15421446,6/13/2015 9:29:55,Male,Nigeria,Nigeria,Other: fresh grad and blogger,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,No,Open Education Week,Coding; Social Media Campaigns; Communications and Media; Blogging; Event Logistics
34614075,6/13/2015 9:41:49,Female,Moldova,Moldova,Faculty/teacher,Humanities - Languages and literature,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Video Editing; Community / Grassroots Organizing; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
26975900,6/13/2015 9:50:05,Male,Central African Republic,Central African Republic,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Access Week; Open Education Week,Coding; Social Media Campaigns; Communications and Media; Blogging
12532273,6/13/2015 9:54:16,Female,Tanzania,Tanzania,Undergraduate student,Social Sciences - Law,Open Access,No,,Advocacy and Policy
39165764,6/13/2015 10:25:11,Male,Uzbekistan,Uzbekistan,Undergraduate student,Social Sciences - Political Science,Open Education,Yes,,Social Media Campaigns; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
27783068,6/13/2015 10:36:44,Male,Pakistan,Pakistan,Civil servant / government employee,Social Sciences - Law,Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Event Logistics; Volunteer Management
33243634,6/13/2015 10:43:26,Male,Croatia,Germany,Other: NGO founder,Natural Sciences - Biological sciences,Open Data,Yes,,Coding; Website Management / Design; Community / Grassroots Organizing; Advocacy and Policy; Volunteer Management
34615156,6/13/2015 10:48:39,Female,Cameroon,Cameroon,Undergraduate student,Social Sciences - Law,Open Education,Yes,Open Access Week,Community / Grassroots Organizing; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
14583348,6/13/2015 11:22:31,Female,Kenya,Kenya,Doctor / medical professional,Medicine/Health Sciences - Health sciences,Open Data,No,,Graphic Design; Community / Grassroots Organizing; Social Media Campaigns; Blogging
23867453,6/13/2015 12:23:36,Male,Nigeria,Nigeria,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Data,No,,Social Media Campaigns; Event Logistics; Volunteer Management
38647373,6/13/2015 13:08:32,Male,Cameroon,Cameroon,Undergraduate student,Social Sciences - Political Science,Open Education,Yes,Open Data Day,Website Management / Design; Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas
26038774,6/13/2015 13:24:23,Male,Nigeria,Nigeria,Researcher (non-faculty),Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,Open Education Week; Open Data Day,Coding; Website Management / Design; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
31527540,6/13/2015 13:43:54,Female,China,United States of America,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Website Management / Design; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
35394283,6/13/2015 13:54:06,Male,Nigeria,Nigeria,Undergraduate student,Social Sciences - Media and communications,Open Education,No,Open Education Week,Social Media Campaigns; Communications and Media
11556714,6/13/2015 13:54:31,Female,Russia,Russia,PhD candidate,Social Sciences - Other social sciences,Open Education,No,,Communications and Media; Blogging
38242384,6/13/2015 14:13:03,Male,Cameroon,Cameroon,Masters/professional student,Social Sciences - Economics and business,Open Education,Yes,Open Access Week,Community / Grassroots Organizing; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
57337053,6/13/2015 14:14:03,Female,Moldova,Moldova,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,,Social Media Campaigns; Fundraising; Communications and Media; Event Logistics; Volunteer Management
38078815,6/13/2015 14:43:06,Male,Nigeria,Nigeria,PhD candidate,Natural Sciences - Biological sciences,Open Education,No,Open Education Week,Video Editing; Community / Grassroots Organizing; Event Logistics; Volunteer Management
33801102,6/13/2015 15:18:14,Female,Turkmenistan,Romania,Undergraduate student,Social Sciences - Political Science,Open Data,No,,Communications and Media
17531971,6/13/2015 15:39:37,Male,Nigeria,Nigeria,Undergraduate student,Natural Sciences - Biological sciences,Open Education,Yes,Open Education Week; Open Data Day,Website Management / Design; Graphic Design; Community / Grassroots Organizing; Blogging; Research about OpenCon's Issue Areas
76072280,6/13/2015 16:04:42,Male,India,India,Undergraduate student,Engineering/Technology - Mechanical engineering,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Volunteer Management
41593462,6/13/2015 16:25:05,Male,Cote d'Ivoire,France,Masters/professional student,Social Sciences - Media and communications,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Social Media Campaigns; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
61778294,6/13/2015 16:41:23,Male,Cameroon,Cameroon,Masters/professional student,Social Sciences - Law,Open Education,Yes,Open Access Week,Community / Grassroots Organizing; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
38925710,6/13/2015 16:46:59,Female,Nigeria,Nigeria,Undergraduate student,"Agricultural Sciences - Agriculture, forestry, and fisheries",Open Education,No,,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Event Logistics; Volunteer Management
50275733,6/13/2015 16:47:04,Female,Nigeria,Nigeria,Other: Social Entrepreneur,Social Sciences - Economics and business,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Event Logistics; Volunteer Management
21342848,6/13/2015 17:00:30,Male,Ghana,Ghana,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Event Logistics; Volunteer Management
37227686,6/13/2015 17:01:52,Female,Tunisia,Tunisia,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Access,Yes,Open Access Week; Open Education Week,Social Media Campaigns; Communications and Media; Blogging; Advocacy and Policy; Event Logistics
26002786,6/13/2015 17:10:16,Male,Ghana,Ukraine,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Education Week,Volunteer Management
20933048,6/13/2015 17:49:38,Male,Pakistan,Pakistan,Faculty/teacher,Engineering/Technology - Civil engineering,Open Education,Yes,,Blogging; Advocacy and Policy; Volunteer Management
14240880,6/13/2015 18:00:08,Male,Niger,Turkey,Undergraduate student,Social Sciences - Political Science,Open Education,Yes,Open Education Week,Volunteer Management
11180609,6/13/2015 18:18:06,Male,Nigeria,Nigeria,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week,Communications and Media; Advocacy and Policy; Event Logistics
11953019,6/13/2015 18:18:50,Male,Pakistan,Pakistan,PhD candidate,Engineering/Technology - Chemical engineering,Open Access,Yes,,Coding; Website Management / Design; Research about OpenCon's Issue Areas
25231860,6/13/2015 18:25:22,Male,Brazil,Brazil,Undergraduate student,Medicine/Health Sciences - Other medical sciences,Open Education,No,,Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
15555408,6/13/2015 18:33:51,Male,Nigeria,Nigeria,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,No,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Graphic Design; Community / Grassroots Organizing; Volunteer Management
39766849,6/13/2015 18:48:50,Male,United States of America,United States of America,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Education,No,,Video Editing; Community / Grassroots Organizing; Social Media Campaigns; Event Logistics; Volunteer Management
24959692,6/13/2015 19:10:35,Male,Nigeria,Nigeria,Undergraduate student,Social Sciences - Economics and business,Open Education,Yes,,Communications and Media; Volunteer Management
18113952,6/13/2015 19:24:10,Other: Other,Bulgaria,Bulgaria,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,No,Open Education Week; Open Data Day,Coding; Blogging
19913165,6/13/2015 19:45:40,Male,Nigeria,Nigeria,Undergraduate student,Social Sciences - Law,Open Data,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Advocacy and Policy; Event Logistics
47773693,6/13/2015 20:53:16,Male,Belgium,Switzerland,Faculty/teacher,Natural Sciences - Mathematics,Open Data,Yes,Open Data Day,Coding; Website Management / Design; Video Editing; Blogging; Research about OpenCon's Issue Areas
76612687,6/14/2015 0:15:14,Female,India,India,Other: Community social worker,Medicine/Health Sciences - Other medical sciences,Open Data,Yes,Open Education Week; Open Data Day,Website Management / Design; Community / Grassroots Organizing; Volunteer Management; Research about OpenCon's Issue Areas
18566494,6/14/2015 0:17:48,Female,India,India,Faculty/teacher,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,Yes,,Coding; Community / Grassroots Organizing; Social Media Campaigns; Blogging; Research about OpenCon's Issue Areas
15145005,6/14/2015 0:38:16,Male,United States of America,United States of America,PhD candidate,Natural Sciences - Biological sciences,Open Data,No,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Graphic Design; Volunteer Management; Research about OpenCon's Issue Areas
12796349,6/14/2015 2:23:19,Male,Pakistan,Saudi Arabia,Masters/professional student,Engineering/Technology - Mechanical engineering,Open Access,No,Open Access Week,Video Editing; Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
38034277,6/14/2015 2:52:19,Male,Uzbekistan,Uzbekistan,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Graphic Design; Video Editing; Social Media Campaigns
15145951,6/14/2015 3:08:04,Male,Nigeria,Nigeria,Professional advocate,Social Sciences - Media and communications,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Communications and Media; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
62848904,6/14/2015 3:39:28,Male,Kyrgyzstan,Kyrgyzstan,Undergraduate student,Social Sciences - Political Science,Open Education,No,Open Education Week,Fundraising; Event Logistics; Volunteer Management
15348149,6/14/2015 3:55:31,Male,Tanzania,Tanzania,Researcher (non-faculty),Social Sciences - Economics and business,Open Access,Yes,,Coding; Website Management / Design; Community / Grassroots Organizing; Fundraising; Research about OpenCon's Issue Areas
26941192,6/14/2015 4:55:16,Female,Moldova,Moldova,Undergraduate student,Social Sciences - Law,Open Education,No,Open Education Week,Community / Grassroots Organizing; Advocacy and Policy
83896639,6/14/2015 6:21:29,Female,Tanzania,Tanzania,Undergraduate student,None of these describes my field of study or expertise,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Volunteer Management
13074695,6/14/2015 7:07:23,Male,Ghana,Ghana,Masters/professional student,None of these describes my field of study or expertise,Open Data,No,Open Data Day,Coding; Website Management / Design; Graphic Design; Community / Grassroots Organizing; Volunteer Management
14278932,6/14/2015 7:31:02,Female,Trinidad and Tobago,Trinidad and Tobago,Professional advocate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,No,Open Access Week; Open Data Day,Community / Grassroots Organizing; Fundraising; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
35411462,6/14/2015 7:36:41,Male,Ukraine,Spain,Researcher (non-faculty),Social Sciences - Media and communications,Open Access,Yes,Open Data Day,Coding; Website Management / Design; Communications and Media; Blogging; Research about OpenCon's Issue Areas
13717435,6/14/2015 8:01:14,Female,China,Singapore,Masters/professional student,Engineering/Technology - Other engineering and technologies,Open Education,Yes,Open Access Week,Graphic Design; Community / Grassroots Organizing; Communications and Media; Advocacy and Policy; Mentoring on empowering women on financial literacy and entrepreneurship
38490803,6/14/2015 8:47:14,Female,Nigeria,Nigeria,Faculty/teacher,Humanities - History and archaeology,Open Education,Yes,Open Education Week,Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
36372833,6/14/2015 8:56:41,Male,Nigeria,Nigeria,Undergraduate student,Medicine/Health Sciences - Health biotechnology,Open Data,No,Open Access Week; Open Education Week; Open Data Day,Coding; Social Media Campaigns; Research about OpenCon's Issue Areas
39565206,6/14/2015 9:16:35,Male,Pakistan,Pakistan,Undergraduate student,Engineering/Technology - Chemical engineering,Open Education,No,Open Education Week,Fundraising; Communications and Media; Blogging; Advocacy and Policy; Volunteer Management
23723479,6/14/2015 9:22:22,Male,Togo,Turkey,Masters/professional student,Social Sciences - Economics and business,Open Education,Yes,Open Education Week,langages
14041369,6/14/2015 9:24:26,Female,Chile,Chile,Faculty/teacher,Social Sciences - Media and communications,Open Access,No,Open Access Week,Website Management / Design; Video Editing; Communications and Media; Blogging; Event Logistics
36483535,6/14/2015 9:35:22,Female,Cameroon,Cameroon,Undergraduate student,Social Sciences - Law,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
23324795,6/14/2015 9:42,Female,Cameroon,Cameroon,Undergraduate student,Social Sciences - Economics and business,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
